"test_text_1" "test_text_2" "test_text_3" "test_text_4" "test_text_5"
"нам" 0.1 0.1 0.05 0 0
"наоборот" 0 0 0 0 0
"напоминает" 0 0.05 0.05 0.05 0
"например" 0.1 0.1 0.1 0.05 0.05
"начинается" 0 0 0 0 0
"нечто" 0 0 0 0 0
"ник" 0 0 0 0 0
"ним" 0 0 0 0 0
"обман" 0 0 0 0 0
"общем" 0.05 0.05 0 0 0
"оригинальное" 0 0 0 0 0
"отца" 0 0 0 0 0
"очередной" 0 0 0 0 0
"первого" 0 0 0.05 0.05 0.05
"первую" 0.05 0.05 0 0 0.05
"перед" 0.15 0.25 0.25 0.2 0.1
"персонажей" 0.15 0.15 0.15 0.05 0
"пожалуй" 0.05 0 0 0 0
"пока" 0.15 0.2 0.15 0.15 0.25
"помочь" 0 0 0 0 0
"похож" 0 0 0 0 0
"почему" 0 0 0 0.2 0.2
"принципиально" 0.05 0.05 0 0 0
"ради" 0 0 0 0.05 0.15
"режиссера" 0 0 0 0 0
"роли" 0.05 0.05 0.05 0.05 0
"ростов" 0 0 0 0 0
"самой" 0 0 0.05 0.05 0.05
"самых" 0.05 0.05 0.05 0.1 0.05
"своим" 0.1 0.05 0.05 0.05 0.1
"сделать" 0.05 0.05 0 0 0
"сериал" 0.4 0.45 0.55 0.45 0.4
"сколько" 0 0.05 0.05 0.05 0.05
"скорости" 0.05 0 0 0 0
"случае" 0 0 0 0 0
"случай" 0 0 0 0 0.05
"смерти" 0 0 0 0 0
"спасти" 0 0 0 0 0
"стало" 0 0 0 0 0
"стать" 0 0 0 0 0
"степени" 0 0 0 0 0
"сценария" 0.1 0.05 0.05 0.05 0
"счастью" 0 0 0 0 0
"там" 0.05 0.05 0.05 0.05 0
"той" 0 0 0 0 0
"тому" 0 0 0 0 0
"уайт" 0 0 0 0 0
"уайта" 0 0 0 0 0
"удается" 0.05 0.1 0.1 0.05 0.05
"филип" 0 0 0 0 0
"хоуп" 0 0 0 0 0
"чарли" 0 0 0 0 0
"черном" 0 0 0 0 0
"шазамом" 0 0 0 0 0
"энди" 0 0 0 0 0
"эпизодов" 0.05 0.05 0.05 0.1 0.05
"эта" 0.05 0.05 0.05 0 0
"эти" 0.05 0.05 0 0.05 0.05
"этих" 0 0 0.05 0.05 0.05
"эту" 0 0 0 0 0
"эхо" 0 0 0 0 0
"якудза" 0 0 0 0 0
"азиатского" 0 0 0 0 0
"бигелоу" 0 0 0 0 0
"боевик" 0 0 0 0 0
"боевых" 0 0 0 0 0
"большим" 0 0 0 0 0
"боул" 0 0 0 0 0
"боула" 0 0 0 0 0
"будет" 0.15 0.15 0.1 0.15 0.15
"будто" 0 0 0.05 0.15 0.15
"верить" 0.1 0.1 0 0 0
"взглядом" 0 0 0 0 0
"виде" 0 0 0 0 0
"видович" 0 0 0 0 0
"виду" 0 0 0 0 0
"визуальный" 0 0 0 0 0
"власти" 0 0 0 0 0
"внимание" 0 0 0 0 0.05
"воду" 0 0 0 0 0
"воды" 0 0 0 0 0
"военного" 0 0 0 0 0
"вряд" 0 0 0 0 0
"всем" 0.15 0.15 0.15 0.1 0
"всю" 0 0 0 0 0
"второго" 0 0 0 0 0
"вторых" 0 0 0 0 0
"вы" 0 0 0 0.05 0.1
"выглядит" 0.15 0.15 0.1 0.1 0.05
"выходит" 0 0 0 0 0
"героями" 0 0 0 0 0
"гораздо" 0 0 0 0 0
"действия" 0.05 0.05 0 0 0
"детей" 0.05 0 0 0 0
"джанет" 0 0 0 0 0
"джунглям" 0 0 0 0 0
"долго" 0 0 0 0 0
"должен" 0.05 0.05 0.05 0 0
"дочери" 0 0 0 0 0
"ей" 0 0.05 0.05 0.05 0.05
"жаль" 0 0.05 0.05 0.05 0.05
"жениха" 0 0 0 0 0
"жизнь" 0 0 0 0 0
"замечательно" 0 0 0 0 0
"звезда" 0 0 0 0.05 0.05
"знает" 0 0 0 0 0
"иззи" 0 0 0 0 0
"иногда" 0 0 0 0 0.1
"иной" 0.1 0.05 0.05 0.05 0
"интересно" 0 0 0 0 0
"иными" 0 0 0 0 0
"ираке" 0 0 0 0 0
"исключением" 0 0 0 0 0
"использует" 0 0 0 0 0
"каждый" 0 0 0 0 0
"касается" 0 0 0 0 0
"книги" 0.1 0.1 0.1 0 0
"количество" 0 0 0 0 0
"компании" 0 0 0 0 0
"корейского" 0 0 0 0 0
"которую" 0.1 0.1 0.05 0.05 0.05
"кто" 0.1 0.1 0.1 0 0
"куда" 0.15 0.15 0.2 0.2 0.05
"кэтрин" 0 0 0 0 0
"лишены" 0 0 0 0 0
"логика" 0 0 0 0 0
"лэнг" 0 0 0 0 0
"любовницей" 0 0 0 0 0
"любовный" 0 0 0 0 0
"любой" 0.05 0.05 0 0 0
"майкл" 0 0 0 0 0
"марк" 0 0 0 0 0
"матери" 0 0 0 0 0
"мин" 0 0 0 0 0
"многие" 0.05 0 0 0 0
"могла" 0 0 0 0 0
"момент" 0 0 0 0.05 0.05
"мрачный" 0 0 0 0 0
"наверняка" 0.05 0.05 0.05 0.1 0.2
"начало" 0 0 0 0 0
"нескольких" 0.05 0.05 0.1 0.1 0.05
"никуда" 0 0 0 0 0
"ничего" 0 0 0.1 0.1 0.1
"новые" 0 0 0 0 0
"новых" 0 0 0 0 0
"ну" 0 0 0 0 0
"обладает" 0 0 0 0 0
"образом" 0 0 0 0 0
"одиссея" 0 0 0 0 0
"одним" 0 0 0 0 0
"одно" 0 0 0 0 0
"опыт" 0.05 0.05 0 0 0
"основных" 0 0 0 0 0
"оставляет" 0.05 0 0 0 0
"остросюжетный" 0 0 0 0 0
"отеле" 0 0 0 0 0
"отправляется" 0 0 0 0 0
"отчасти" 0 0 0 0 0
"первой" 0.05 0 0 0 0
"первых" 0.05 0.05 0.05 0.05 0.1
"персонажем" 0 0 0 0 0
"писатель" 0 0 0 0 0
"планеты" 0 0 0 0 0
"повествование" 0 0 0 0 0
"последний" 0 0 0 0 0
"потому" 0 0.15 0.15 0.15 0.05
"появляется" 0 0 0 0 0
"правда" 0 0 0.05 0.05 0.05
"превращается" 0.05 0.05 0.05 0.05 0
"прежде" 0 0 0 0 0
"прекрасно" 0.05 0 0 0 0
"принса" 0 0 0 0 0
"принято" 0 0 0 0 0
"приходится" 0 0.05 0.05 0.05 0
"причем" 0 0.05 0.05 0.05 0.05
"проблема" 0.05 0.05 0 0 0
"провести" 0 0 0 0 0
"продолжение" 0 0 0 0 0
"прокате" 0 0 0 0 0
"прочих" 0.05 0 0 0 0
"прошлом" 0 0 0 0 0
"пускай" 0.05 0.05 0 0 0
"пути" 0.05 0.05 0 0 0
"равно" 0 0 0 0.05 0.05
"разумеется" 0 0 0 0 0
"ребенка" 0 0 0 0 0.05
"режиссером" 0 0 0 0 0
"рекомендуется" 0 0 0 0 0
"роман" 0 0 0 0 0
"сама" 0 0 0 0 0
"самый" 0.05 0.05 0.05 0 0
"санни" 0 0 0 0 0
"свое" 0 0 0.05 0.05 0.05
"своё" 0 0 0 0 0
"своему" 0 0 0 0 0
"связывает" 0 0 0 0 0
"сезон" 0 0 0 0 0
"сезона" 0 0.05 0.05 0.05 0
"семье" 0 0 0 0 0
"семьей" 0 0 0 0 0
"семьи" 0 0 0 0 0
"семья" 0 0 0 0 0
"сестру" 0 0 0 0 0
"сил" 0 0 0 0 0
"сильно" 0 0 0.05 0.05 0.05
"ситуация" 0 0 0 0 0
"сицилии" 0 0 0 0 0
"скоро" 0 0 0 0 0
"слегка" 0 0 0 0 0
"словами" 0 0 0 0 0
"снова" 0 0 0 0 0
"снять" 0 0 0 0 0
"спокойно" 0 0 0 0 0
"среди" 0 0 0 0.1 0.1
"стал" 0 0 0 0 0
"сталлоне" 0 0 0 0 0
"сторону" 0.1 0.1 0.1 0.05 0.1
"стороны" 0 0 0 0 0
"сценарист" 0.05 0 0 0 0
"считает" 0 0.05 0.05 0.05 0
"считать" 0 0 0 0 0
"сюжетная" 0 0 0 0 0
"сюжетной" 0 0 0 0 0.05
"такие" 0 0 0 0 0
"таким" 0 0 0.05 0.05 0.05
"такой" 0 0 0 0 0
"темп" 0 0 0 0 0
"теперь" 0.05 0.05 0.05 0.05 0.05
"третьего" 0 0 0 0 0
"удался" 0 0 0 0 0
"ужасов" 0 0 0 0 0
"фиаско" 0 0 0 0 0
"фильмов" 0 0 0 0 0
"фильмом" 0 0 0 0 0
"хо" 0 0 0 0 0
"хон" 0 0 0 0 0
"хочет" 0 0 0 0 0.1
"хронометража" 0 0 0 0 0
"целом" 0 0 0 0 0
"чрезвычайно" 0 0 0 0 0
"шазам" 0 0 0 0 0
"шазама" 0 0 0 0 0
"эпизоды" 0.05 0 0 0 0
"эпохи" 0 0 0 0 0
"этому" 0 0 0 0.05 0.05
"я" 0 0 0 0 0
"являются" 0 0 0 0 0
"it" 0 0 0 0 0
"marvel" 0 0 0 0 0
"автора" 0 0 0 0 0
"автоспорта" 0 0 0 0 0
"американском" 0 0 0 0 0
"американскому" 0 0 0 0 0
"анастасия" 0 0 0 0 0
"андор" 0 0 0 0 0
"андоре" 0 0 0 0 0
"антон" 0 0.05 0.05 0.05 0
"армстронг" 0 0 0 0 0
"арно" 0 0 0 0 0
"артём" 0 0 0 0 0
"атласа" 0 0 0 0 0
"аудиторию" 0 0 0 0 0
"батлер" 0 0 0 0 0
"белый" 0 0 0 0 0
"бён" 0 0 0 0 0
"бесконечности" 0 0 0 0 0
"бикс" 0 0 0 0 0
"биографии" 0 0 0 0 0
"благодаря" 0.05 0 0 0 0
"ближе" 0 0 0.05 0.05 0.1
"богатых" 0 0 0 0 0
"боевика" 0 0 0 0 0
"боевиком" 0 0 0 0 0
"божественных" 0 0 0 0 0
"большого" 0 0 0 0 0
"большую" 0.05 0.05 0.05 0 0
"браке" 0 0 0 0 0
"брат" 0 0 0 0 0
"братьев" 0 0 0 0 0
"британского" 0 0 0 0 0
"будут" 0 0 0 0 0.05
"буквально" 0 0 0 0 0
"бывшей" 0.05 0.05 0.05 0.05 0
"быстро" 0 0 0 0 0
"бюджета" 0 0 0 0 0
"важно" 0 0 0 0 0
"вас" 0 0 0 0 0
"вернее" 0 0 0 0 0
"вернуться" 0 0 0 0 0
"весьма" 0 0 0 0 0
"взгляде" 0 0 0 0 0
"взрывы" 0 0 0 0 0
"вид" 0 0.05 0.05 0.05 0.05
"видел" 0 0 0 0 0
"видели" 0 0 0 0 0
"видится" 0 0 0 0 0
"визуально" 0 0 0 0 0
"вики" 0 0 0 0 0
"вируса" 0.1 0 0 0 0
"включая" 0 0 0 0 0
"владимир" 0 0 0 0 0
"влияние" 0 0 0 0 0
"внезапно" 0 0 0 0 0
"внешне" 0 0 0 0 0
"внешней" 0 0 0 0 0
"внимания" 0.05 0.1 0.1 0.05 0.1
"внутри" 0 0.05 0.05 0.05 0.05
"вода" 0 0 0 0 0
"возвращается" 0 0 0 0 0
"возвращение" 0 0 0 0 0
"войнам" 0 0 0 0 0
"вокруг" 0 0 0 0 0.05
"волантен" 0 0 0 0 0
"волшебником" 0 0 0 0 0
"вон" 0 0 0 0 0
"воспитания" 0 0 0 0 0
"воспламеняющая" 0 0 0 0 0
"восьмидесятые" 0 0 0 0 0
"восьмидесятых" 0 0 0 0 0
"вперед" 0.05 0.05 0.05 0.05 0
"впечатляющий" 0.05 0.05 0.05 0 0
"времена" 0 0 0 0 0
"всём" 0 0 0 0 0
"всему" 0 0 0 0 0
"встречающихся" 0 0 0 0 0
"вторит" 0 0 0 0 0
"вуду" 0 0 0 0 0
"выделяются" 0 0 0 0 0
"вызывает" 0 0 0.05 0.05 0.1
"выйдет" 0 0 0 0 0
"выразился" 0 0 0 0 0
"выступает" 0 0 0 0 0
"выступил" 0 0 0 0 0
"выхода" 0 0 0 0 0
"выходили" 0 0 0 0 0
"вышли" 0 0.05 0.05 0.05 0
"вышло" 0 0 0 0 0
"вьетнаме" 0 0 0 0 0
"гавайи" 0 0 0 0 0
"галактики" 0 0 0 0 0
"главе" 0 0.05 0.05 0.05 0.05
"главная" 0.05 0.1 0.15 0.1 0.1
"главных" 0 0 0 0 0
"глубоко" 0 0 0 0 0
"говоря" 0 0 0 0 0.05
"год" 0.05 0 0 0 0
"голову" 0 0 0 0 0
"города" 0 0.05 0.1 0.1 0.1
"городке" 0 0 0 0 0
"гость" 0 0 0 0 0
"готовый" 0 0 0 0 0
"грандиозной" 0 0 0 0 0
"дайверов" 0 0 0 0 0
"далеко" 0 0 0 0 0
"дальше" 0 0.05 0.05 0.05 0.05
"две" 0.05 0 0 0 0
"двенадцати" 0 0 0 0 0
"двое" 0 0 0 0 0
"девочки" 0 0 0 0 0
"дела" 0 0 0 0 0
"делом" 0 0 0 0 0
"денис" 0 0 0 0 0
"день" 0.05 0.05 0 0 0
"держит" 0 0 0 0 0
"джона" 0 0 0 0 0
"джэ" 0 0 0 0 0
"дома" 0 0 0 0 0
"доме" 0 0 0 0 0
"домой" 0 0 0 0 0
"достоинством" 0 0 0 0 0
"дочкой" 0 0 0 0 0
"дочку" 0 0 0 0 0
"древних" 0 0 0 0 0
"другой" 0 0 0 0 0
"другом" 0 0 0 0.05 0.1
"другую" 0 0 0 0 0
"духе" 0 0 0 0 0
"дыхания" 0 0 0 0 0
"дэвид" 0.05 0.05 0.05 0.05 0
"евгений" 0 0 0 0 0
"егор" 0 0 0 0 0
"енот" 0 0 0 0 0
"ещё" 0 0 0 0 0
"жанровый" 0 0 0 0 0
"женой" 0 0 0 0 0
"жену" 0 0 0 0 0.05
"жертвами" 0 0 0 0 0
"жертвой" 0 0 0 0 0
"зак" 0 0 0 0 0
"заключается" 0 0 0 0 0
"зато" 0.1 0.1 0.05 0 0
"звездным" 0 0 0 0 0
"звезды" 0.05 0 0 0 0
"земля" 0 0 0 0 0
"земляне" 0 0 0 0 0
"злодея" 0 0 0 0 0
"зрителей" 0 0 0 0.05 0.05
"зрителю" 0 0 0 0 0
"игрой" 0 0 0 0 0
"идеально" 0 0 0 0 0
"идеи" 0.05 0.05 0.05 0 0
"идей" 0 0 0 0 0
"идею" 0 0 0 0 0
"идея" 0 0 0 0 0
"избыточное" 0 0 0 0 0
"изгоя" 0 0 0 0 0
"изначально" 0 0 0 0 0
"имеет" 0 0 0 0 0
"интерес" 0 0.05 0.05 0.05 0.1
"исключительно" 0 0 0 0 0.05
"исмаэля" 0 0 0 0 0
"исследование" 0 0 0 0 0
"ищет" 0 0 0 0 0
"каждая" 0.05 0.05 0.05 0.05 0
"казалось" 0.05 0.05 0.05 0 0
"каир" 0 0 0 0 0
"какую" 0 0 0 0 0
"кан" 0 0 0 0 0
"капитализма" 0 0 0 0 0
"картин" 0 0 0 0 0
"картинг" 0 0 0 0 0
"картину" 0 0 0 0 0
"кассиана" 0 0 0 0 0
"качестве" 0.1 0 0 0 0
"квантового" 0 0 0 0 0
"квантомания" 0 0 0 0 0
"киллера" 0 0 0 0 0
"ким" 0 0 0 0 0
"киновселенной" 0 0 0 0 0
"киноязык" 0 0 0 0 0
"кира" 0 0 0 0 0
"клары" 0 0 0 0 0
"колоритом" 0 0 0 0 0
"колумбии" 0 0 0 0 0
"команды" 0 0.3 0.3 0.3 0.15
"кому" 0 0.05 0.05 0.1 0.1
"конца" 0.05 0 0.05 0.05 0.05
"корейский" 0 0 0 0 0
"корейско" 0 0 0 0 0
"коротко" 0 0 0 0 0
"космической" 0 0 0 0 0
"космобол" 0 0 0 0 0
"которым" 0 0 0 0 0
"кофе" 0 0 0 0 0
"крайней" 0 0.05 0.05 0.1 0.1
"кровь" 0 0 0 0 0
"кровью" 0 0 0 0 0
"кувшинова" 0 0 0 0 0
"кэмерон" 0 0 0 0 0
"лаконичным" 0 0 0 0 0
"либо" 0 0 0 0 0.1
"линия" 0 0 0 0 0
"лишена" 0 0 0 0 0
"локи" 0 0 0 0 0
"лотос" 0 0 0 0 0
"лучшие" 0 0 0 0 0
"любовницу" 0 0 0 0 0
"любовь" 0 0 0 0.1 0.1
"люди" 0.2 0.2 0.15 0.05 0.05
"людьми" 0 0 0 0.05 0.05
"людям" 0 0 0 0 0
"майка" 0 0 0 0 0
"максима" 0 0 0 0 0
"маленьких" 0 0 0 0 0
"мама" 0 0 0 0 0
"марвел" 0 0 0 0 0
"мастерства" 0 0 0 0 0
"матвеевич" 0 0 0 0 0
"мексиканских" 0 0 0 0 0
"меньше" 0.05 0.05 0.05 0 0
"меньшей" 0 0 0 0 0
"меры" 0 0 0 0 0
"местной" 0 0 0 0 0
"место" 0.1 0.05 0 0 0
"метод" 0 0 0 0 0
"милые" 0.05 0 0 0 0
"минус" 0 0 0 0 0
"минут" 0 0 0 0 0
"минуту" 0 0 0 0 0
"мире" 0 0 0 0.05 0.05
"мишель" 0 0 0 0 0
